playerID,ballots,votes,inducted
howarel01,432.0,30.0,N
palmeji01,444.0,411.0,Y
howarel01,413.0,44.0,N
keelewi01,78.0,33.0,N
scottev01,262.0,2.0,N
hartnga01,153.0,35.0,N
rogerst01,443.0,0.0,N
musiast01,340.0,317.0,Y
raineti01,543.0,132.0,N
dykesji01,153.0,7.0,N
reeseri01,432.0,0.0,N
ruckena01,201.0,11.0,N
lindsfr01,269.0,6.0,N
morgajo02,444.0,363.0,Y
garvest01,499.0,160.0,N
grovele01,161.0,123.0,Y
glavito02,571.0,525.0,Y
coombja01,202.0,2.0,N
burkeje01,78.0,1.0,N
yountro01,497.0,385.0,Y
coopewi01,251.0,11.0,N
smoltjo01,549.0,455.0,Y
grohhe01,252.0,1.0,N
kellge01,388.0,129.0,N
whitewi01,362.0,7.0,N
traynpi01,121.0,93.0,Y
doerrbo01,340.0,62.0,N
pennohe01,121.0,94.0,Y
vandejo01,193.0,3.0,N
bunniji01,447.0,283.0,N
aparilu01,403.0,341.0,Y
meusebo01,251.0,2.0,N
vanceda01,251.0,205.0,Y
lombaer01,266.0,4.0,N
dobsopa01,374.0,0.0,N
friscfr01,274.0,26.0,N
boudrlo01,300.0,232.0,Y
helmsto01,374.0,1.0,N
olivato01,443.0,160.0,N
burnsge01,168.0,2.0,N
suttebr01,520.0,400.0,Y
wagneho01,226.0,215.0,Y
ricesa01,252.0,9.0,N
hermabi01,121.0,1.0,N
perduhu01,262.0,1.0,N
faberre01,269.0,83.0,N
martied01,539.0,195.0,N
linzyfr01,385.0,0.0,N
fiskca01,499.0,397.0,Y
johnsbo01,193.0,1.0,N
adamsba01,226.0,12.0,N
barryja01,274.0,1.0,N
manushe01,160.0,15.0,N
nehfar01,234.0,3.0,N
terrybi01,161.0,46.0,N
medwijo01,193.0,31.0,N
maddugr01,571.0,555.0,Y
leachfr01,269.0,1.0,N
elberki01,201.0,1.0,N
milancl01,262.0,1.0,N
kuennha01,413.0,144.0,N
sandbry01,516.0,393.0,Y
maranra01,252.0,209.0,Y
cissebi01,201.0,1.0,N
matheed01,379.0,301.0,Y
fostege01,430.0,24.0,N
terrybi01,247.0,32.0,N
traynpi01,274.0,10.0,N
kellech01,283.0,11.0,N
smithoz01,472.0,433.0,Y
mcleala01,201.0,1.0,N
dunnja01,202.0,1.0,N
newcodo01,432.0,52.0,N
lombaer01,292.0,43.0,N
odoulle01,193.0,5.0,N
cepedor01,401.0,77.0,N
thomafr04,571.0,478.0,Y
gwynnto01,545.0,532.0,Y
derripa01,121.0,1.0,N
darliro01,515.0,1.0,N
robinfr02,415.0,370.0,Y
rolfere01,264.0,5.0,N
coopewi01,234.0,2.0,N
kaatji01,456.0,98.0,N
crawfsa01,226.0,1.0,N
covelst01,262.0,1.0,N
rudoldi01,201.0,1.0,N
suttodo01,473.0,386.0,Y
coopewi01,264.0,9.0,N
marioma01,340.0,112.0,N
torrejo01,473.0,105.0,N
snidedu01,360.0,89.0,N
jenkife01,443.0,334.0,Y
larkiba01,581.0,361.0,N
bottoji01,168.0,8.0,N
fingero01,430.0,349.0,Y
harribu01,153.0,11.0,N
lyonste01,251.0,217.0,Y
carewro01,443.0,401.0,Y
friscfr01,226.0,14.0,N
cuyleki01,153.0,4.0,N
raineti01,569.0,297.0,N
eckerde01,506.0,421.0,Y
longhe01,262.0,1.0,N
cavarph01,201.0,22.0,N
dawsoan01,539.0,420.0,Y
burnsge01,201.0,3.0,N
jacksre01,423.0,396.0,Y
ripkeca01,545.0,537.0,Y
worreto01,496.0,0.0,N
bradlbi01,233.0,1.0,N
wilheho01,395.0,331.0,Y
dawsoan01,520.0,317.0,N
conrowi01,247.0,1.0,N
reesepe01,201.0,73.0,N
greenha01,193.0,164.0,Y
fellebo01,160.0,150.0,Y
cramedo01,266.0,2.0,N
steinte01,516.0,1.0,N
archeji01,262.0,7.0,N
medwijo01,283.0,240.0,Y
marisro01,374.0,69.0,N
dunstsh01,543.0,1.0,N
lazzeto01,193.0,64.0,N
martipe02,549.0,500.0,Y
combsea01,153.0,6.0,N
carrocl02,395.0,0.0,N
delahed01,262.0,132.0,N
tinkejo01,247.0,49.0,N
hardeme01,168.0,2.0,N
meusebo01,262.0,1.0,N
leonadu02,380.0,6.0,N
burdele01,395.0,82.0,N
burdele01,385.0,66.0,N
edmonji01,440.0,11.0,N
ruffire01,193.0,97.0,N
millebo04,385.0,0.0,N
ashburi01,432.0,130.0,N
vanceda01,153.0,33.0,N
wilsoha01,266.0,94.0,N
mattido01,506.0,65.0,N
willicy01,266.0,6.0,N
delahed01,233.0,104.0,N
gowdyha01,251.0,90.0,N
delahed01,78.0,21.0,N
brocklo01,395.0,315.0,Y
kluszte01,396.0,10.0,N
simmoal01,226.0,4.0,N
cramedo01,193.0,4.0,N
dickebi01,252.0,202.0,Y
burgesm01,380.0,1.0,N
dickebi01,168.0,78.0,N
friscfr01,161.0,136.0,Y
larsedo01,379.0,32.0,N
rixeyep01,247.0,1.0,N
woodjo02,168.0,1.0,N
roushed01,121.0,17.0,N
seaveto01,430.0,425.0,Y
adamsba01,234.0,9.0,N
terrybi01,252.0,195.0,Y
reesepe01,201.0,47.0,N
schilcu01,571.0,167.0,N
minosmi01,473.0,84.0,N
clarkfr01,233.0,58.0,N
ruffire01,306.0,266.0,Y
robinja02,160.0,124.0,Y
robinbr01,374.0,344.0,Y
camparo01,340.0,270.0,Y
alexape01,262.0,212.0,Y
stahlla01,432.0,0.0,N
heilmha01,234.0,203.0,Y
brettge01,497.0,488.0,Y
wheatza01,252.0,33.0,N
groatdi01,379.0,3.0,N
burdele01,379.0,76.0,N
scottev01,201.0,2.0,N
ottme01,226.0,197.0,Y
bakerfr01,233.0,39.0,N
gehrich01,247.0,10.0,N
gonzami01,264.0,1.0,N
blylebe01,581.0,463.0,Y
schumha02,121.0,1.0,N
fordwh01,365.0,284.0,Y
sislege01,274.0,235.0,Y
terrybi01,226.0,9.0,N
cronijo01,193.0,152.0,Y
speaktr01,201.0,165.0,Y
mathech01,226.0,205.0,Y
smithle02,545.0,217.0,N
planked01,201.0,23.0,N
elberki01,233.0,1.0,N
bankser01,383.0,321.0,Y
boonebr01,581.0,1.0,N
dimagjo01,251.0,223.0,Y
jonesto02,571.0,0.0,N
unserde01,427.0,0.0,N
peckiro01,153.0,1.0,N
berryke01,401.0,0.0,N
thomago01,430.0,0.0,N
hubbeca01,161.0,140.0,Y
grimmch01,274.0,1.0,N
parkeda01,581.0,89.0,N
boggswa01,516.0,474.0,Y
johnsra05,549.0,534.0,Y
mussimi01,549.0,135.0,N
bakerfr01,274.0,30.0,N
wambsbi01,193.0,1.0,N
drysddo01,403.0,316.0,Y
riceji01,539.0,412.0,Y
harribu01,264.0,21.0,N
gehrich01,187.0,159.0,Y
lopezal01,292.0,114.0,N
lopezal01,306.0,50.0,N
larkiba01,573.0,495.0,Y
bancrda01,193.0,15.0,N
spahnwa01,380.0,316.0,Y
stargwi01,427.0,352.0,Y
ruthba01,226.0,215.0,Y
hafeych01,160.0,7.0,N
kinerra01,292.0,124.0,N
piazzmi01,440.0,365.0,Y
sullibi03,201.0,1.0,N
gordojo01,266.0,11.0,N
falkecy01,201.0,1.0,N
kleinch01,252.0,11.0,N
winfida01,515.0,435.0,Y
alomaro01,581.0,523.0,Y
pinsova01,427.0,67.0,N
lewisdu01,226.0,2.0,N
gustifr01,266.0,3.0,N
hackst01,121.0,2.0,N
rommeed01,266.0,7.0,N
hornsro01,262.0,46.0,N
ferreri01,269.0,1.0,N
groveor01,266.0,5.0,N
jenseja01,340.0,1.0,N
schmimi01,460.0,444.0,Y
berrayo01,396.0,339.0,Y
maranra01,226.0,110.0,N
mantlmi01,365.0,322.0,Y
fletcar01,274.0,1.0,N
hinchbi01,201.0,1.0,N
phillde01,247.0,2.0,N
rizzuph01,292.0,71.0,N
murraed02,496.0,423.0,Y
wanerpa01,234.0,195.0,Y
mcdanli01,401.0,1.0,N
johnswa01,226.0,189.0,Y
clarkfr01,78.0,9.0,N
roushed01,233.0,1.0,N
koufasa01,396.0,344.0,Y
kalinal01,385.0,340.0,Y
wadderu01,247.0,154.0,N
floodcu01,444.0,35.0,N
facero01,432.0,35.0,N
sheffga01,549.0,64.0,N
erskica01,302.0,6.0,N
grimebu01,234.0,9.0,N
wilsoha01,121.0,2.0,N
carltst01,456.0,436.0,Y
newcodo01,380.0,11.0,N
duganjo01,266.0,5.0,N
maricju01,374.0,313.0,Y
sierrru01,573.0,0.0,N
wilsoji01,153.0,6.0,N
cadorle01,121.0,1.0,N
wrighgl01,266.0,8.0,N
garvene01,292.0,1.0,N
marquru01,252.0,15.0,N
kressre01,269.0,3.0,N
lolicmi01,444.0,27.0,N
roushed01,168.0,16.0,N
boonebo01,497.0,27.0,N
parrila01,456.0,2.0,N
olivato01,447.0,135.0,N
griffke02,440.0,437.0,Y
galanau01,283.0,2.0,N
warnelo01,160.0,2.0,N
cochrmi01,161.0,128.0,Y
drysddo01,415.0,233.0,N
willibi01,374.0,153.0,N
pinsova01,444.0,36.0,N
careyma01,226.0,27.0,N
gossari01,543.0,466.0,Y
dimagjo01,264.0,117.0,N
ruelmu01,226.0,1.0,N
peckiro01,274.0,1.0,N
wynnea01,396.0,301.0,Y
stengca01,153.0,3.0,N
perryga01,443.0,342.0,Y
martipe01,234.0,31.0,N
floodcu01,430.0,42.0,N
theveto01,168.0,2.0,N
fonsele01,269.0,3.0,N
deandi01,264.0,209.0,Y
killeha01,403.0,335.0,Y
coninje01,569.0,0.0,N
faberre01,160.0,30.0,N
niekrph01,473.0,380.0,Y
giustda01,374.0,1.0,N
kellech01,160.0,1.0,N
kinerra01,362.0,273.0,Y
kinerra01,396.0,235.0,N
suttebr01,496.0,266.0,N
anderbr01,543.0,0.0,N
cobbty01,226.0,222.0,Y
delahed01,201.0,70.0,N
scottev01,161.0,1.0,N
mcinnst01,262.0,4.0,N
meusebo01,153.0,3.0,N
schumha02,251.0,1.0,N
medwijo01,160.0,34.0,N
mayswi01,432.0,409.0,Y
mattido01,520.0,64.0,N
conceda01,516.0,55.0,N
willite01,302.0,282.0,Y
slaugen01,388.0,197.0,N
snidedu01,385.0,333.0,Y
matthga01,423.0,0.0,N
yastrca01,447.0,423.0,Y
lemonbo01,201.0,3.0,N
marioma01,283.0,89.0,N
chambch01,456.0,0.0,N
roberro01,388.0,337.0,Y
johnto01,545.0,125.0,N
jacksmi02,539.0,0.0,N
careyma01,266.0,136.0,N
lemonbo01,388.0,305.0,Y
hodgegi01,365.0,198.0,N
biggicr01,569.0,388.0,N
puckeki01,515.0,423.0,Y
marisro01,427.0,184.0,N
camparo01,306.0,170.0,N
robinwi01,201.0,5.0,N
duffyhu01,262.0,24.0,N
breweji01,415.0,2.0,N
parkeda01,496.0,51.0,N
hamptmi01,440.0,0.0,N
warnelo01,266.0,2.0,N
averiea01,266.0,14.0,N
hunteca01,413.0,315.0,Y
kressre01,266.0,1.0,N
hargrbu01,161.0,1.0,N
rolfere01,266.0,13.0,N
ruffire01,302.0,208.0,N
southbi01,266.0,18.0,N
blylebe01,497.0,70.0,N
hartnga01,251.0,195.0,Y
ryanno01,497.0,491.0,Y
applilu01,266.0,77.0,N
simmoal01,264.0,199.0,Y
haddiha01,365.0,8.0,N
tiantlu01,499.0,86.0,N
dobyla01,302.0,7.0,N
schoere01,300.0,97.0,N
ansonca01,78.0,39.0,N
hornsro01,233.0,182.0,Y
mcdougi01,302.0,5.0,N
jonessa01,193.0,1.0,N
mattido01,573.0,102.0,N
