playerID,ballots,votes,inducted
olivato01,447.0,135.0,N
whitewi01,362.0,7.0,N
johnsbo01,193.0,1.0,N
facero01,432.0,35.0,N
millebo04,385.0,0.0,N
burdele01,395.0,82.0,N
terrybi01,226.0,9.0,N
dobyla01,302.0,7.0,N
kellech01,160.0,1.0,N
brocklo01,395.0,315.0,Y
lombaer01,266.0,4.0,N
ruelmu01,226.0,1.0,N
munsoth01,460.0,30.0,N
reesepe01,201.0,73.0,N
lombaer01,292.0,43.0,N
applilu01,201.0,142.0,N
clarkfr01,233.0,58.0,N
newcodo01,380.0,11.0,N
hornsro01,262.0,46.0,N
wadderu01,247.0,154.0,N
galanau01,283.0,2.0,N
reesepe01,201.0,47.0,N
ruffire01,302.0,208.0,N
averiea01,266.0,14.0,N
kellge01,388.0,129.0,N
scottev01,161.0,1.0,N
mcleala01,201.0,1.0,N
robinja02,160.0,124.0,Y
steinte01,516.0,1.0,N
meusebo01,262.0,1.0,N
manushe01,160.0,15.0,N
cadorle01,121.0,1.0,N
matheed01,379.0,301.0,Y
brutobi01,360.0,1.0,N
yastrca01,447.0,423.0,Y
scottev01,262.0,2.0,N
speaktr01,201.0,165.0,Y
martipe02,549.0,500.0,Y
ryanno01,497.0,491.0,Y
medwijo01,193.0,31.0,N
ansonca01,78.0,39.0,N
jossad01,202.0,14.0,N
suttodo01,473.0,386.0,Y
kuennha01,413.0,144.0,N
barnero01,78.0,3.0,N
delahed01,262.0,132.0,N
leachfr01,269.0,1.0,N
baineha01,545.0,29.0,N
fingero01,443.0,291.0,N
cavarph01,201.0,22.0,N
morgajo02,444.0,363.0,Y
riceji01,539.0,412.0,Y
seaveto01,430.0,425.0,Y
dunstsh01,543.0,1.0,N
coninje01,569.0,0.0,N
faberre01,269.0,83.0,N
mattido01,573.0,102.0,N
camparo01,306.0,170.0,N
milancl01,262.0,1.0,N
willite01,302.0,282.0,Y
wanerpa01,234.0,195.0,Y
dickebi01,168.0,78.0,N
parrila01,456.0,2.0,N
howarel01,432.0,30.0,N
willibi01,374.0,153.0,N
koufasa01,396.0,344.0,Y
lopezal01,292.0,114.0,N
fingero01,430.0,349.0,Y
wilsoha01,266.0,94.0,N
foxxji01,226.0,179.0,Y
sheffga01,549.0,64.0,N
